Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month
3.0,7.0,4.0,26.822619623699016,265.0,No,80.41529543900253,312.49408867943663,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
3.0,7.0,4.0,31.94496005538421,265.0,No,118.28022162236736,284.62916249607184,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
3.0,7.0,4.0,28.60935202206993,267.0,No,81.699521264648,331.2098628537912,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
5.0,4.0,4.0,31.377861869582357,268.0,No,199.4580743910713,223.45130972736786,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
6.0,4.0,4.0,24.797346908844982,269.0,No,41.420153086217326,341.48923103222177,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
8.0,4.0,4.0,27.26225871052017,270.0,No,62.430172331195294,340.4792117872438,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
3.0,8.0,4.0,22.53759303178384,271.0,No,178.3440674122349,244.5653167062043,Good,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
3.0,6.0,4.0,23.93379480196552,271.0,No,24.785216509052056,358.12416760938714,Standard,Good,High_spent_Medium_value_payments,23.0,19114.12,3.0,4.0,3.0,4.0,1824.8433333333328,11.27,809.98,49.57494921489417
3.0,4.0,2.0,24.46403063758457,319.0,No,104.291825168246,470.69062692529184,Standard,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
7.0,1.0,2.0,38.550848433956325,320.0,No,40.39123782853101,484.5912142650067,Good,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
